branch	sha
fix/phase7c-mt5-large-readable-typography	883286364d6f22bc4fa2f4eee01cec03cdc2b7c3
fix/phase7c-mt5-offline-preflight	6d52ae5793499f61e840c496b41a144cf6948d1b
fix/phase7c-mt5-panel-dpi	850dfe0cfdc8166df60f387ba15f16bdcfbd6cb5
fix/phase7c-mt5-panel-layout	b4e8269ac2f8d2528c54f44a5ec914100050f965
fix/phase7c-mt5-readable-fonts	6a519facfd2f4a66b65c04710147665276210507
fix/phase7c-mt5-reason-layout	894331eaee691b5db4ee2433de7310ffe9627883
fix/phase7c-mt5-reason-wrap	39b2c34b0086631f283de183e81dcb8da038b7a0
fix/phase7c-mt5-unmanaged-diagnostic-details	7df4b5545f4aca2cee94775c4913059db5282ec0
fix/phase7c-mt5-unmanaged-multi-position-status	78041ed77d58843bd97778d1d4c112530e940da4
fix/phase7c-mt5-unmanaged-position-banner	eba3a8510d70c1fca03131a5528dd740d39c9e5e
fix/phase7c-multiple-position-monitor-fail-closed	d943256be8ace1b25ceefd3d8c71f4d41b087fe4
fix/phase7c-multiple-position-ui-management-reason-fail-closed	d714c4fc25b4c8ad436cbc0d763b79fcd9f4d01c
fix/phase7c-notifier-deploy-simplification	c8401c4f43e3b1f1411faf36681457e5de227303
fix/phase7c-performance-broker-session-time	600d8b4458653ef50620c5902b6aff7d5dc37f3c
fix/phase7c-performance-inout-reversal	2dba710f49afc0c9ce780f731bb46420a41e576d
fix/phase7c-performance-mixed-provenance	66dddf9fa22d4de024209ade62687cbdd9890281
fix/phase7c-performance-opening-provenance-web-contract	cf1037260249ede9a87e92e7cb39696f0bb1aec1
fix/phase7c-performance-period-carry-in	59675731cd5cdfd37630e9b8bc4cfc8ff21a54ee
fix/phase7c-recent-deal-history-time	054838230a22aad64989eec81e91f72896a71523
fix/phase7c-recovered-entry-close-context-current	adaa430972d6b7b77da4d754f83ea05f99d24a1a
fix/phase7c-recovered-entry-close-pnl	c59a63f920dd5706e778daad67af88fbad918239
fix/phase7c-remove-web-chart	9c2ad4f2571405bc9559f6ed5ecbe760b1ce97e1
fix/phase7c-resilient-ui	34a58b42b0e3cb30c1dcd0a712f999da89e29cb1
fix/phase7c-runtime-verifier-panel-contract	09d4387da2fab8ad13a38a79f1d381df711d111a
fix/phase7c-scheduled-task-ownership	41b0a4c009ca8b43a02ff3c9b4b3074ce6564c9b
fix/phase7c-session-live-arm	7c2c1b7ef8f2e1386a0a01a7ce9e4382a50840ba
fix/phase7c-shadow-lot-bind	2969c961bf61fd5f066b0fe112c1a1f0f624d268
fix/phase7c-sideway-deploy-stale-broker-guard	38f4c6aa2511ca557e6aed7d992a1955ddfb40c3
fix/phase7c-sideway-entry-check-freshness	afd914ce60dc492313560f2b22b3ee03c48615a1
fix/phase7c-sideway-fetch-failure-observability	a283ca45bc9a091ad629556bd31f5eed81becc68
fix/phase7c-sideway-final-lock-config-contract	c4c5b84aa7cb933552fa05d1c27360ac4c67e1c6
fix/phase7c-sideway-management-contract	6b631b325913a0da54bc3422886f73e5d90df4ed
fix/phase7c-sideway-runtime-deploy-contract	e6bafb84670f3604cabbff9bab4a37638211252b
fix/phase7c-source-safety-canonical-magic	411fe966fef8b5924a26502b9c624c615a7fd5e8
fix/phase7c-stale-port-ownership	e06f0df62d6901f63dce9ac178c692a6d99c560d
fix/phase7c-startup-acceptance-verifier	1c678a3ae219bf9b4f133017235f585a40123e9a
fix/phase7c-startup-pause-scheduled-task	27b12e77fc1f97e3620c87cc75e665bc9c1be49c
fix/phase7c-startup-runner-singleton	10f397b07d5b358bea341e5e9c93a348283b3bb7
fix/phase7c-startup-runner-strictmode-leak	2482361fbf8e99f28040e362eae4efb30950ccd6
fix/phase7c-strategy-entry-conditions-ci-complete	3d6caf4be21ef9686a2afad542bca7d18be2a18e
fix/phase7c-structural-sl-buffer-1	360707137c2f25380a940adcdf9f3b62ffbbf784
fix/phase7c-supervisor-first-stop	44c5d07e22dd46cebaaa5948f3b47da3d9dd8441
fix/phase7c-switch-empty-position-array	dde02c3a8b6fe4ced3d519cef44ae9f8148c13f1
fix/phase7c-switch-empty-position-array-ci	dde02c3a8b6fe4ced3d519cef44ae9f8148c13f1
fix/phase7c-switch-empty-position-array-final	dde02c3a8b6fe4ced3d519cef44ae9f8148c13f1
fix/phase7c-switch-empty-position-array-pr	d7dd2e1cc627ea92b25fedf4ae64d16af6518cce
fix/phase7c-system-runner-node-launch	8129e263f5cbb9dd53306d8d47973d27c57f1d11
fix/phase7c-telegram-compact-hold-m5-structure-sl	1b0b20d8416b5c0389af553a63293a35e4cca315
fix/phase7c-telegram-compact-hold-structure-sl	c3871aedddaf2b7037370f2f5865f5570723bfa9
fix/phase7c-telegram-entry-truth	4d6a29b6672ae90ef0ece514ebb2930d14eb3c06
fix/phase7c-telegram-entry-truth-main-port	5f8472a6633b08435dce683db719e3d5c853c83f
fix/phase7c-telegram-recovery-position-context	806c481fdc7275ac8ed852985e7b80547c841e1a
fix/phase7c-telegram-test-trade-channel	0f29a836b5a925442cbd80b92830746e8d676608
fix/phase7c-trade-notifier-degraded-runtime-recovery	a67a7f29c89cff5857487bdc436f3b1f7873c2bc
fix/phase7c-trade-notifier-deploy-verification	875e913804a220bc58cd21500a9a40d6afa482ab
fix/phase7c-trade-notifier-hot-reload	db61b33986a3b41971051b004d1f9a37b5d438e5
fix/phase7c-trade-notifier-orphan-child-ownership	162df8f93132782c0464dcee47f2cd54153b1852
fix/phase7c-trade-notifier-recovery-close-daily-sync	60bb4ed79653241a3b70f3273fa2c70c1fb5173c
fix/phase7c-trade-notifier-restart-startup-grace	1f41d115e7c8a159d33c6e5c8f8b37308ec4738f
fix/phase7c-trade-notifier-singleton	98faaf6cea932c5b5f480e968dbb0efea8da78f1
fix/phase7c-trade-notifier-stale-lock	5f5ddbf7c4cb3dbf61a0b317ff0d9dc7f2e88514
fix/phase7c-trade-notifier-supervision	e998b316dbc065db229838731cd8332e8f83243a
fix/phase7c-trend-pullback-live-touch-entry	06030d6a6070606bc737d588afa3565808424380
